Accession number,CIAT code,DOI,Synonyms,Common names,Genus,Species,Subspecies,Variety,Biological status,CORE collection,Country,Department,County,Place,Date of collection (dd-mm-yyyy),Altitude (masl),Latitude (decimal),Longitude (decimal),Name,Institution,Country,Name,dd-mm-yyyy,Growth habit,Plant height (cm),Flowering,Shape of leaf-lobe central,Petiole color,Developed leaf color,Number of leaf lobes,Root color,Dry matter content (%),Total HCN content (ppm),Total sugars (%),Total amylose (%),Clarity (%),Temperature pasting (°C),Maximum viscosity,Breakdown (cP),Easy cooking (minutes),,,Null,  1  ,  2  ,  3  ,  4  ,Responsible
COL714,COL 714,10.18730/PD0J=,"COL 714, VAL-404",Blanca,Manihot,esculenta,,,Landrace,0,Colombia,Valle Del Cauca,Roldanillo,Juan Bastidas,23-10-1969,1530,4.35,-76.1167,,,,"Alberto Angel, Victor Manuel Patino",23-10-1969,Bush,,,,,,,,28.24,318,5.84,20.04,45.7,63.9,673,224,2.97,2003,"Teresa Sanchez, Hernan Ceballos, Edna Salcedo",,86,91,,,Cesar Humberto Ocampo Nahar
BRA22,BRA 22,10.18730/P9419,,,Manihot,esculenta,,,Landrace,0,Brazil,,,,,,,,,,,,,,140,Present,Lanceolate,,,,White,,,,,,,,,,,,,,,,100,Cesar Humberto Ocampo Nahar
BRA27,BRA 27,10.18730/PCBJX,,,Manihot,esculenta,,,Landrace,0,Brazil,,,,,,,,,,,,,,190,Present,Elliptic-Lanceolate,,,,White,42.96,74,1.4,21.52,49.2,62.15,870,346,3.72,2000,"Teresa Sanchez, Hernan Ceballos, Edna Salcedo",,,,,100,Cesar Humberto Ocampo Nahar
BRA30,BRA 30,10.18730/PCBKY,IAC X-319,Iac-X-319,Manihot,esculenta,,,Landrace,0,Brazil,,,,,,,,Ciatcas-0097,ESTACION EXPERIMENTAL AGRICOLA DE TULUMAYO,Peru,,01-03-1977,,165,Absent,Lanceolate,,,,White,37.76,456,2.5,19.84,49.6,60.7,859,372,2.25,2000,"Teresa Sanchez, Hernan Ceballos, Edna Salcedo",,,,,100,Cesar Humberto Ocampo Nahar
BRA943,BRA 943,10.18730/P944C,"BGM 0102, BRA-006734",Roxona,Manihot,esculenta,,,Landrace,0,Brazil,Bahia,Castro Alves,,,278,-12.75,-39.4167,Ciatcas-0821,EMPRESA BRASILEIRA DE PESQUISA AGROPECUARIA-CENTRO NACIONAL DE PESQUISA DE MANDIOCA E FRUTICULTURA TROPICAL,Brazil,,24-04-1991,,,,,,,,,36.1,131,1.97,21.72,38.3,65.3,780,284,3.03,2001,"Teresa Sanchez, Hernan Ceballos, Edna Salcedo",,,,,,Cesar Humberto Ocampo Nahar
BRA919,BRA 919,10.18730/P945D,BRA-069124,Broto Roxo,Manihot,esculenta,,,Landrace,0,Brazil,,,,,,,,,,,,01-04-1988,,250,Present,Lanceolate,,,,White,46.83,245,1.65,20.86,47.5,62.7,873,411,1.96,1999,"Teresa Sanchez, Hernan Ceballos, Edna Salcedo",,86,,,100,Cesar Humberto Ocampo Nahar
PER339,PER 339,10.18730/PBYFH,UNPRG 13,Casme$A Colorada,Manihot,esculenta,,,Landrace,0,Peru,Ancash,,,,,,,,UNIVERSIDAD NACIONAL PEDRO RUIZ GALLO,Peru,,01-11-1983,,300,Absent,Lanceolate,,,,White,19.42,161,7.9,23.54,14.0,65.3,690,154,3.65,2001,"Teresa Sanchez, Hernan Ceballos, Edna Salcedo",,,91,,,Cesar Humberto Ocampo Nahar
PER322,PER 322,10.18730/PCQTE,,,Manihot,esculenta,,,Landrace,1,Peru,,,,,,,,Ciatcas-0093,CENTRO REGIONAL DE INVESTIGACION AGRARIA CRIA,Peru,,,,240,Absent,Lanceolate,,,,White,19.15,445,5.9,20.26,59.8,64.35,479,206,2.05,2001,"Teresa Sanchez, Hernan Ceballos, Edna Salcedo",,,91,,,Cesar Humberto Ocampo Nahar
PER305,PER 305,10.18730/PBYJM,,,Manihot,esculenta,,,Landrace,0,Peru,,,,,,,,Ciatcas-0093,CENTRO REGIONAL DE INVESTIGACION AGRARIA CRIA,Peru,,,,280,Present,Obovate-Lanceolate,,,,White,31.41,110,3.22,21.28,37.6,70.35,511,132,2.38,2001,"Teresa Sanchez, Hernan Ceballos, Edna Salcedo",,,,96,100,Cesar Humberto Ocampo Nahar
PER311,PER 311,10.18730/P9J2E,,,Manihot,esculenta,,,Landrace,0,Peru,,,,,,,,Ciatcas-0093,CENTRO REGIONAL DE INVESTIGACION AGRARIA CRIA,Peru,,,,240,Present,Lanceolate,,,,Cream,,,,,,,,,,,,,,91,96,,Cesar Humberto Ocampo Nahar
PER316,PER 316,10.18730/PDKXS,,,Manihot,esculenta,,,Landrace,0,Peru,,,,,,,,Ciatcas-0093,CENTRO REGIONAL DE INVESTIGACION AGRARIA CRIA,Peru,,,,195,Absent,Lanceolate,,,,White,26.07,247,8.3,22.39,47.7,64.25,740,264,2.64,2000,"Teresa Sanchez, Hernan Ceballos, Edna Salcedo",,,91,96,,Cesar Humberto Ocampo Nahar
PER298,PER 298,10.18730/P9J6J,,,Manihot,esculenta,,,Landrace,0,Peru,,,,,,,,Ciatcas-0093,CENTRO REGIONAL DE INVESTIGACION AGRARIA CRIA,Peru,,,,245,Present,Elliptic-Lanceolate,,,,White,37.09,52,1.7,19.26,62.7,65.0,984,382,3.55,2000,"Teresa Sanchez, Hernan Ceballos, Edna Salcedo",,,,96,100,Cesar Humberto Ocampo Nahar
PER302,PER 302,10.18730/PBYPR,,,Manihot,esculenta,,,Landrace,0,Peru,,,,,,,,Ciatcas-0093,CENTRO REGIONAL DE INVESTIGACION AGRARIA CRIA,Peru,,,,220,Present,Lanceolate,,,,White,34.61,92,3.8,20.77,32.0,66.45,691,294,1.96,2001,"Teresa Sanchez, Hernan Ceballos, Edna Salcedo",,,,96,,Cesar Humberto Ocampo Nahar
PER304,PER 304,10.18730/P7XR5,,,Manihot,esculenta,,,Landrace,0,Peru,,,,,,,,Ciatcas-0093,CENTRO REGIONAL DE INVESTIGACION AGRARIA CRIA,Peru,,,,310,Present,Elliptic-Lanceolate,,,,White,32.27,53,1.8,19.47,47.6,62.95,1024,432,3.03,2000,"Teresa Sanchez, Hernan Ceballos, Edna Salcedo",,,,,100,Cesar Humberto Ocampo Nahar
PER262,PER 262,10.18730/PDKYT,,Valenka,Manihot,esculenta,,,Landrace,0,Peru,,,,,,,,Ciatcas-0093,CENTRO REGIONAL DE INVESTIGACION AGRARIA CRIA,Peru,,,,275,Present,Elliptic-Lanceolate,,,,White,,,,,,,,,,,,,,91,,100,Cesar Humberto Ocampo Nahar
PER272,PER 272,10.18730/PCR4R,,Cog.Plomoferre#Afe,Manihot,esculenta,,,Landrace,0,Peru,,,,,,,,Ciatcas-0093,CENTRO REGIONAL DE INVESTIGACION AGRARIA CRIA,Peru,,,,,,,,,,,25.24,252,2.42,19.09,54.6,63.85,702,297,2.22,2002,"Teresa Sanchez, Hernan Ceballos, Edna Salcedo",,,91,,,Cesar Humberto Ocampo Nahar
PER250,PER 250,10.18730/PB77D,,,Manihot,esculenta,,,Landrace,0,Peru,,,,,,,,Ciatcas-0097,ESTACION EXPERIMENTAL AGRICOLA DE TULUMAYO,Peru,,01-03-1977,,260,Present,Lanceolate,,,,White,,,,,,,,,,,,,,,,100,Cesar Humberto Ocampo Nahar
PER259,PER 259,10.18730/PB79F,,Tolonera,Manihot,esculenta,,,Landrace,1,Peru,,,,,,,,Ciatcas-0093,CENTRO REGIONAL DE INVESTIGACION AGRARIA CRIA,Peru,,,,250,Absent,Lanceolate,,,,White,37.15,60,3.0,19.77,58.2,60.8,1001,420,3.45,2000,"Teresa Sanchez, Hernan Ceballos, Edna Salcedo",,,91,96,,Cesar Humberto Ocampo Nahar
PER236,PER 236,10.18730/PDM1X,,Samoy,Manihot,esculenta,,,Landrace,0,Peru,,,,,,,,Ciatcas-0097,ESTACION EXPERIMENTAL AGRICOLA DE TULUMAYO,Peru,,01-03-1977,,210,Present,Lanceolate,,,,White,,,,,,,,,,,,,86,91,,,Cesar Humberto Ocampo Nahar
PER224,PER 224,10.18730/PB7EM,,Blanca T.10,Manihot,esculenta,,,Landrace,0,Peru,San Martin,Tocache,,,,-8.1833,-76.5167,Ciatcas-0097,ESTACION EXPERIMENTAL AGRICOLA DE TULUMAYO,Peru,,01-03-1977,,240,Absent,Elliptic-Lanceolate,,Light Green,,White,,,,,,,,,,,,,,,96,100,Cesar Humberto Ocampo Nahar
PER226,PER 226,10.18730/PB7FN,,Eeat 12,Manihot,esculenta,,,Landrace,1,Peru,San Martin,Tocache,,,,-8.1833,-73.1833,Ciatcas-0097,ESTACION EXPERIMENTAL AGRICOLA DE TULUMAYO,Peru,,01-03-1977,,225,Present,Elliptic-Lanceolate,,,,White,31.12,53,2.93,21.54,29.7,64.45,520,108,3.72,2002,"Teresa Sanchez, Hernan Ceballos, Edna Salcedo",,,,,100,Cesar Humberto Ocampo Nahar
PER208,PER 208,10.18730/P8PY$,,Inguire Rumo,Manihot,esculenta,,,Landrace,0,Peru,Loreto,Pucallpa,,,,-8.3833,-74.5167,Ciatcas-0097,ESTACION EXPERIMENTAL AGRICOLA DE TULUMAYO,Peru,,01-03-1977,,145,Present,Lanceolate,,,,White,33.61,354,4.94,21.13,53.5,66.65,699,248,2.48,2002,"Teresa Sanchez, Hernan Ceballos, Edna Salcedo",,,91,,100,Cesar Humberto Ocampo Nahar
PER214,PER 214,10.18730/P8PZ=,,Shilpe T.3,Manihot,esculenta,,,Landrace,0,Peru,,Aucayacu,,,,,,Ciatcas-0097,ESTACION EXPERIMENTAL AGRICOLA DE TULUMAYO,Peru,,01-03-1977,,,,,,,,,34.85,78,1.9,20.42,43.7,66.4,933,403,1.96,2000,"Teresa Sanchez, Hernan Ceballos, Edna Salcedo",,,,96,100,Cesar Humberto Ocampo Nahar
PER216,PER 216,10.18730/PB7HQ,,Chaucha Negra,Manihot,esculenta,,,Landrace,0,Peru,San Martin,Tocache,,,,-8.1833,-76.5167,Ciatcas-0097,ESTACION EXPERIMENTAL AGRICOLA DE TULUMAYO,Peru,,01-03-1977,,245,Absent,Elliptic-Lanceolate,,,,White,37.49,97,2.7,21.23,45.4,62.15,983,427,3.19,2000,"Teresa Sanchez, Hernan Ceballos, Edna Salcedo",,,,,100,Cesar Humberto Ocampo Nahar
PER217,PER 217,10.18730/PBZ2U,,Oajarama,Manihot,esculenta,,,Landrace,0,Peru,Loreto,Iquitos,,,,-3.75,-73.1833,Ciatcas-0097,ESTACION EXPERIMENTAL AGRICOLA DE TULUMAYO,Peru,,01-03-1977,,230,Present,Lanceolate,,,,White,42.85,43,3.0,21.52,49.4,65.1,1006,345,3.36,2000,"Teresa Sanchez, Hernan Ceballos, Edna Salcedo",,86,,,100,Cesar Humberto Ocampo Nahar
PER187,PER 187,10.18730/PB7MT,,Roja Desconocida,Manihot,esculenta,,,Landrace,0,Peru,,Aucayacu,Carretera Kms: 17,,,,,Ciatcas-0097,ESTACION EXPERIMENTAL AGRICOLA DE TULUMAYO,Peru,,01-03-1977,,190,Absent,Elliptic-Lanceolate,,,,White,35.44,73,0.84,20.35,47.0,63.55,952,348,2.38,1999,"Teresa Sanchez, Hernan Ceballos, Edna Salcedo",,,,96,100,Cesar Humberto Ocampo Nahar
PER190,PER 190,10.18730/P8Q10,,Shilpe T.1,Manihot,esculenta,,,Landrace,0,Peru,,Aucayacu,,,,,,Ciatcas-0097,ESTACION EXPERIMENTAL AGRICOLA DE TULUMAYO,Peru,,01-03-1977,,,,,,,,,38.23,311,3.48,17.9,43.0,66.5,843,359,2.22,2003,"Teresa Sanchez, Hernan Ceballos, Edna Salcedo",,,,96,100,Cesar Humberto Ocampo Nahar
PAR107,PAR 107,10.18730/PBZ52,"015, M 015","Cano-Jovuy, Cano/Jouy",Manihot,esculenta,,,Landrace,0,Paraguay,San Pedro,Guayaybi,Kms: 5,06-03-1983,,-24.5167,-56.35,,MINISTERIO DE AGRICULTURA Y GANADERIA,Paraguay,"Alvaro Amaya, J. Gerardo Vieira, Luis Caceres Alvarez",01-11-1985,Bush,160,Present,Linear-Pandurate,,,,White,,,,,,,,,,,,,,,96,,Cesar Humberto Ocampo Nahar
PAR102,PAR 102,10.18730/P7Y5J,"185, M 185",Pyta,Manihot,esculenta,,,Landrace,0,Paraguay,Canendiyu,Y Jhovy,,05-04-1983,,-24.3333,-54.9167,,MINISTERIO DE AGRICULTURA Y GANADERIA,Paraguay,"J. Gerardo Vieira, Mario Sanabria L., Tomas Mayeregger",01-11-1983,Bush,130,Present,Elliptic-Lanceolate,,,,White,35.58,120,2.29,22.59,38.7,70.65,622,162,2.31,2001,"Teresa Sanchez, Hernan Ceballos, Edna Salcedo",,,91,,100,Cesar Humberto Ocampo Nahar
PAR193,PAR 193,10.18730/PADA=,"207, M 207",Mandio Moroti,Manihot,esculenta,,,Landrace,1,Paraguay,Concepcion,Vallemi,Via Punta,12-04-1984,,-22.2167,-57.9833,,MINISTERIO DE AGRICULTURA Y GANADERIA,Paraguay,"J. Gerardo Vieira, Mario Sanabria L., Tomas Mayeregger",01-11-1985,Bush,125,Present,Elliptic-Lanceolate,,,,White,31.35,66,1.7,19.96,48.2,65.7,679,216,3.16,2001,"Teresa Sanchez, Hernan Ceballos, Edna Salcedo",,86,,,100,Cesar Humberto Ocampo Nahar
CTHXXX-12,CTH XXX- 12,10.18730/PDMB2,,,Manihot,carthaginensis,,,Wild,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Cesar Humberto Ocampo Nahar
PAR176,PAR 176,10.18730/P9JHX,"186, M 186",Mandioca Brasil,Manihot,esculenta,,,Landrace,0,Paraguay,Canendiyu,Catuete,Catuete,05-04-1984,,-24.15,-54.6,,MINISTERIO DE AGRICULTURA Y GANADERIA,Paraguay,"J. Gerardo Vieira, Mario Sanabria L., Tomas Mayeregger",01-11-1985,Bush,165,Absent,Elliptic-Lanceolate,,,,White,,,,,,,,,,,,,,,96,,Cesar Humberto Ocampo Nahar
PAR177,PAR 177,10.18730/P7Y9P,"187, M 187",Mandioca Pan,Manihot,esculenta,,,Landrace,0,Paraguay,Canendiyu,Corpus Cristi,Cruce Guarani Kms: 18,05-04-1984,,-24.2167,-54.7833,,MINISTERIO DE AGRICULTURA Y GANADERIA,Paraguay,"J. Gerardo Vieira, Mario Sanabria L., Tomas Mayeregger",01-11-1985,Bush,220,Absent,Lanceolate,,,,White,,,,,,,,,,,,,,,,100,Cesar Humberto Ocampo Nahar
PAR179,PAR 179,10.18730/P9JJY,"189, M 189",,Manihot,esculenta,,,Landrace,0,Paraguay,Canendiyu,Corpus Cristi,Cruce Guarani Kms: 18,05-04-1984,,-24.15,-54.6,,MINISTERIO DE AGRICULTURA Y GANADERIA,Paraguay,"J. Gerardo Vieira, Mario Sanabria L., Tomas Mayeregger",01-11-1985,Bush,180,Absent,Linear-Pandurate,,,,Yellow,,,,,,,,,,,,,,,96,100,Cesar Humberto Ocampo Nahar
PAR180,PAR 180,10.18730/PADBU,"190, M 190",Vassoirinha,Manihot,esculenta,,,Landrace,0,Paraguay,Canendiyu,Corpus Cristi,Cruce Guarani Kms: 18,05-04-1984,,-24.15,-54.6,,MINISTERIO DE AGRICULTURA Y GANADERIA,Paraguay,"J. Gerardo Vieira, Mario Sanabria L., Tomas Mayeregger",01-11-1985,Bush,120,Absent,Linear-Pyramid,,,,White,34.17,250,3.53,22.15,60.9,65.05,525,170,3.32,2002,"Teresa Sanchez, Hernan Ceballos, Edna Salcedo",,,,,100,Cesar Humberto Ocampo Nahar
PAR174,PAR 174,10.18730/PBZ74,,Peruchi,Manihot,esculenta,,,Landrace,0,Paraguay,,,,,,,,,MINISTERIO DE AGRICULTURA Y GANADERIA,Paraguay,,01-11-1985,,110,Present,Linear-Pyramid,,,,White,36.55,382,7.68,20.91,55.3,68.35,837,304,1.83,2003,"Teresa Sanchez, Hernan Ceballos, Edna Salcedo",,86,,96,,Cesar Humberto Ocampo Nahar
PAR163,PAR 163,10.18730/PB7V~,"170, M 170",,Manihot,esculenta,,,Landrace,1,Paraguay,Presidente Hayes,Estancia Mellon,Transchaco Km357,20-03-1984,,,,,MINISTERIO DE AGRICULTURA Y GANADERIA,Paraguay,"J. Gerardo Vieira, Mario Sanabria L., Tomas Mayeregger",01-11-1985,Bush,200,Present,Linear-Pandurate,,,,White,20.82,317,4.8,22.45,43.2,68.55,475,132,1.96,2001,"Teresa Sanchez, Hernan Ceballos, Edna Salcedo",,,,,100,Cesar Humberto Ocampo Nahar
CM4772-4,CM 4772- 4,10.18730/P8QA9,CM 4772- 4,,Manihot,esculenta,,,Improved-Line (COL 22xMAL 3),0,Colombia,Valle Del Cauca,Palmira,Ciat Kms: 17,,915,3.5333,-76.25,,,,,,,215,Present,Straight or Linear,Green,Dark Green,Seven Lobes,White,,,,,,,,,,,,,,91,,,Cesar Humberto Ocampo Nahar
COL1487,COL 1487,10.18730/PBDBR,CMC 58,Parroquiana Blanca,Manihot,esculenta,,,Landrace,0,Colombia,Caldas,Chinchina,,01-08-1967,,4.9167,-75.55,,INSTITUTO COLOMBIANO AGROPECUARIO,Colombia,Francisco Garcia,08-04-1970,,180,Present,Lanceolate,,,,Cream,31.45,186,3.49,22.15,39.1,66.25,839,390,2.09,2002,"Teresa Sanchez, Hernan Ceballos, Edna Salcedo",,,,96,100,Cesar Humberto Ocampo Nahar
COL1472,COL 1472,10.18730/P9RAX,CMC 43,Montuna,Manihot,esculenta,,,Landrace,0,Colombia,Cordoba,,,01-07-1967,,,,,INSTITUTO COLOMBIANO AGROPECUARIO,Colombia,,03-04-1970,,200,Present,Lanceolate,,,,White,42.03,123,1.9,22.98,36.3,64.75,1088,487,3.29,2000,"Teresa Sanchez, Hernan Ceballos, Edna Salcedo",,,91,,,Cesar Humberto Ocampo Nahar
COL1460,COL 1460,10.18730/PBDDT,CMC 32,Boliviana,Manihot,esculenta,,,Landrace,0,Colombia,Narino,El Tambo,,01-04-1967,2216,1.3667,-77.35,,INSTITUTO COLOMBIANO AGROPECUARIO,Colombia,E. A. Yepes,03-04-1970,,280,Present,Lanceolate,,,,White,,,,,,,,,,,,,,91,,100,Cesar Humberto Ocampo Nahar
COL1449,COL 1449,10.18730/PAKPH,CMC 21,"La No. 8, La Numero 8",Manihot,esculenta,,,Landrace,0,Colombia,,,,,,,,,INSTITUTO COLOMBIANO AGROPECUARIO,Colombia,,03-04-1970,,275,Present,Lanceolate,Green-Yellow,Dark Green,Five Lobes,White,30.22,250,2.1,20.33,28.75,66.3,656,226,2.74,2001,"Teresa Sanchez, Hernan Ceballos, Edna Salcedo",,86,,,,Cesar Humberto Ocampo Nahar
COL1455,COL 1455,10.18730/P8XYU,CMC 27,"Naranjale#A, Naranjalena",Manihot,esculenta,,,Landrace,0,Colombia,Cauca,El Patia,,01-04-1967,,2.0833,-76.9167,,INSTITUTO COLOMBIANO AGROPECUARIO,Colombia,E. A. Yepes,03-04-1970,,,,,,,,,31.8,219,2.79,21.93,38.4,63.85,863,368,2.97,2002,"Teresa Sanchez, Hernan Ceballos, Edna Salcedo",,,,,100,Cesar Humberto Ocampo Nahar
COL1431,COL 1431,10.18730/P9RG=,CMC 1,,Manihot,esculenta,,,Landrace,0,Colombia,,,,,,,,,INSTITUTO COLOMBIANO AGROPECUARIO,Colombia,,03-04-1970,,275,Present,Lanceolate,,,,Cream,,,,,,,,,,,,,86,,,,Cesar Humberto Ocampo Nahar
COL1439,COL 1439,10.18730/PCZ8Y,CMC 10,"La No. 13, La Numero 13",Manihot,esculenta,,,Landrace,0,Colombia,,,,,,,,,INSTITUTO COLOMBIANO AGROPECUARIO,Colombia,,03-04-1970,,180,Present,Lanceolate,,,,White,27.0,47,5.94,20.56,41.7,68.0,839,356,2.09,2003,"Teresa Sanchez, Hernan Ceballos, Edna Salcedo",,,91,,100,Cesar Humberto Ocampo Nahar
COL1423,COL 1423,10.18730/PAKSM,"COL 1423, NOS-313",Sardina,Manihot,esculenta,,,Landrace,0,Colombia,Norte De Santander,Cucuta,Urbano(J.Duarte),22-03-1970,490,7.8167,-72.4667,,,,Pablo Emilio Daza,22-03-1970,Bush,230,Present,Lanceolate,,,,White,,,,,,,,,,,,,,,,100,Cesar Humberto Ocampo Nahar
COL1396A,COL 1396A,10.18730/PDV2*,"COL 1396A, SAN-460",Chamalota,Manihot,esculenta,,,Landrace,0,Colombia,Santander Del Sur,San Vicente De Chucuri,El Abejal,18-03-1970,69,6.8667,-73.4167,,,,Pablo Emilio Daza,18-03-1970,Bush,205,Present,Lanceolate,,,,White,19.25,55,9.2,22.88,19.75,67.65,645,119,3.03,2001,"Teresa Sanchez, Hernan Ceballos, Edna Salcedo",,,,,100,Cesar Humberto Ocampo Nahar
COL1389,COL 1389,10.18730/PCZB~,"COL 1389, SAN-453",Banguera,Manihot,esculenta,,,Landrace,1,Colombia,Santander Del Sur,Galan,El Hobo,18-03-1970,660,6.5833,-73.25,,,,Pablo Emilio Daza,18-03-1970,Bush,180,Absent,Lanceolate,,,,White,32.32,245,4.01,20.04,50.3,65.1,834,376,2.61,2003,"Teresa Sanchez, Hernan Ceballos, Edna Salcedo",,86,,,100,Cesar Humberto Ocampo Nahar
COL1288,COL 1288,10.18730/PC5SX,"BOY-347, COL 1288",Llanera,Manihot,esculenta,,,Landrace,0,Colombia,Boyaca,Santa Maria,El Yopal,05-02-1970,990,4.6167,-73.2333,,,,Pablo Emilio Daza,05-02-1970,Bush,200,Absent,Lanceolate,,,,White,30.57,280,2.6,18.8,43.25,63.1,414,148,2.41,2001,"Teresa Sanchez, Hernan Ceballos, Edna Salcedo",,,,,100,Cesar Humberto Ocampo Nahar
COL1231,COL 1231,10.18730/P84WB,"COL 1231, SAN-403",Arrobera,Manihot,esculenta,,,Landrace,0,Colombia,Santander Del Sur,San Jose De Suaita,Luis Rodriguez,18-01-1970,1330,6.0833,-73.25,,,,Victor Manuel Patino,18-01-1970,Bush,215,Absent,Lanceolate,,,,White,29.1,140,3.37,18.48,31.5,63.75,760,249,2.9,2003,"Teresa Sanchez, Hernan Ceballos, Edna Salcedo",,86,91,,,Cesar Humberto Ocampo Nahar
COL1236,COL 1236,10.18730/PDV81,"COL 1236, SAN-408",Yema De Huevo,Manihot,esculenta,,,Landrace,0,Colombia,Santander Del Sur,Velez,Jose M.Pinzon,19-01-1970,930,6,-73.6167,,,,Victor Manuel Patino,19-01-1970,Bush,265,Absent,Lanceolate,,,,Yellow,30.35,75,7.52,20.73,55.0,67.05,622,201,2.71,2003,"Teresa Sanchez, Hernan Ceballos, Edna Salcedo",n,,,,,Cesar Humberto Ocampo Nahar
COL1179,COL 1179,10.18730/PAM0V,"COL 1179, SAN-351",Macanilla,Manihot,esculenta,,,Landrace,0,Colombia,Santander Del Sur,Velez,Urbano(F.Duran),15-01-1970,800,6,-73.6167,,,,Pablo Emilio Daza,15-01-1970,Bush,185,Present,Lanceolate,,,,White,,,,,,,,,,,,n,,,,,Cesar Humberto Ocampo Nahar
COL1149,COL 1149,10.18730/PBDP=,"BOY-317, COL 1149",Puertana,Manihot,esculenta,,,Landrace,0,Colombia,Boyaca,San Pablo De Borbur,San Antonio,13-01-1970,1400,5.5833,-74.05,,,,Pablo Emilio Daza,13-01-1970,Bush,280,Present,Elliptic-Lanceolate,,,,White,,,,,,,,,,,,,,,96,,Cesar Humberto Ocampo Nahar
COL1147A,COL 1147A,10.18730/PCZH2,"BOY-315, COL 1147A",Guacharaca,Manihot,esculenta,,,Landrace,0,Colombia,Boyaca,Pauna,,13-01-1970,1200,5.6667,-73.9833,,,,Pablo Emilio Daza,13-01-1970,Bush,250,Absent,Oblong-Lanceolate,,,,White,,,,,,,,,,,,,,,96,,Cesar Humberto Ocampo Nahar
COL1112A,COL 1112A,10.18730/PDVA3,"COL 1112A, CUN-404",Caucana,Manihot,esculenta,,,Landrace,0,Colombia,Cundinamarca,Vergara,Villadoris,09-01-1970,1300,5.1167,-74.35,,,,Pablo Emilio Daza,09-01-1970,Bush,170,Present,Lanceolate,,,,White,34.06,194,2.8,19.23,45.9,64.15,744,190,3.94,2001,"Teresa Sanchez, Hernan Ceballos, Edna Salcedo",,86,,,,Cesar Humberto Ocampo Nahar
COL1104,COL 1104,10.18730/P853J,"COL 1104, CUN-396",Caucana,Manihot,esculenta,,,Landrace,0,Colombia,Cundinamarca,Sasaima,El Chircal,08-01-1970,1500,4.8667,-74.4,,,,Pablo Emilio Daza,08-01-1970,Bush,170,Present,Lanceolate,,,,White,27.78,522,3.87,21.72,29.0,65.85,663,209,2.64,2001,"Teresa Sanchez, Hernan Ceballos, Edna Salcedo",,86,,96,,Cesar Humberto Ocampo Nahar
COL1035A,COL 1035A,10.18730/P8YBC,"ANT-460, COL 1035A",Blanca,Manihot,esculenta,,,Landrace,0,Colombia,Antioquia,Remedios,La Bananera,17-12-1969,945,7.0167,-74.6333,,,,Alberto Angel,17-12-1969,Bush,220,Present,Oblong-Lanceolate,,,,White,32.96,31,2.57,20.84,49.5,65.85,666,198,3.03,2001,"Teresa Sanchez, Hernan Ceballos, Edna Salcedo",,86,,,,Cesar Humberto Ocampo Nahar
COL1024,COL 1024,10.18730/P9S5K,"ANT-449, COL 1024",,Manihot,esculenta,,,Landrace,0,Colombia,Antioquia,Zaragoza,Resfa De Cano,16-12-1969,220,7.45,-74.8,,,,Alberto Angel,16-12-1969,Bush,220,Absent,Lanceolate,,,,White,,,,,,,,,,,,,86,,,,Cesar Humberto Ocampo Nahar
COL1032,COL 1032,10.18730/P9S8P,"ANT-457, COL 1032",,Manihot,esculenta,,,Landrace,0,Colombia,Antioquia,Remedios,Ma.Imelda Jurado,16-12-1969,890,7.0167,-74.6333,,,,Alberto Angel,16-12-1969,Bush,295,Present,Elliptic-Lanceolate,,,,White,35.0,48,3.09,20.99,51.1,66.2,752,277,2.51,2001,"Teresa Sanchez, Hernan Ceballos, Edna Salcedo",,86,,,,Cesar Humberto Ocampo Nahar
COL988,COL 988,10.18730/PCZWD,"ATL-321, COL 988",Cartagena,Manihot,esculenta,,,Landrace,0,Colombia,Atlantico,Baranoa,Arroyo Hondo,04-12-1969,40,10.7,-74.85,,,,Victor Manuel Patino,04-12-1969,Bush,,,,,,,,,,,,,,,,,,,,,,,100,Cesar Humberto Ocampo Nahar
COL991,COL 991,10.18730/PBDW4,"ATL-324, COL 991",Majatera,Manihot,esculenta,,,Landrace,0,Colombia,Atlantico,Baranoa,Arroyo Hondo,04-12-1969,40,10.7,-74.85,,,,Victor Manuel Patino,04-12-1969,Bush,140,Present,Straight or Linear,,,,White,36.7,75,1.4,20.64,54.9,63.85,704,290,2.67,2000,"Teresa Sanchez, Hernan Ceballos, Edna Salcedo",,,,,100,Cesar Humberto Ocampo Nahar
COL982A,COL 982A,10.18730/PCZXE,"ATL-315, COL 982A",Cartagena,Manihot,esculenta,,,Landrace,0,Colombia,Atlantico,Galapa,Sgdo.Corazondej,04-12-1969,5,10.8333,-74.8333,,,,Victor Manuel Patino,04-12-1969,Bush,195,Absent,Lanceolate,,,,Yellow,,,,,,,,,,,,,,91,,,Cesar Humberto Ocampo Nahar
COL966C,COL 966C,10.18730/P8YFG,"COL 966C, COR-381",Guarumera,Manihot,esculenta,,,Landrace,0,Colombia,Cordoba,Chinu,Cacaotal,02-12-1969,80,9.1,-75.4,,,,Victor Manuel Patino,02-12-1969,Bush,180,Present,Lanceolate,,,,White,38.12,123,2.74,21.42,34.8,66.65,737,231,3.32,2001,"Teresa Sanchez, Hernan Ceballos, Edna Salcedo",,,,,100,Cesar Humberto Ocampo Nahar
