location_CassavaBase ,use_latitude,use_longitude,use_altitude,use_department,use_country,use_ag_zone,use_location_short
"Caloto. Cauca, Colombia",3.066666667,-76.31666667,1289,Cauca,Colombia,High altitude tropics,calo
Buenos Aires,2.916666667,-76.66666667,1124,Cauca,Colombia,High altitude tropics,bair
"Mondomo. Cauca, Colombia",2.883333333,-76.55,1389,Cauca,Colombia,High altitude tropics,mond
"Morales. Cauca, Colombia",2.8,-76.66666667,1432,Cauca,Colombia,High altitude tropics,mora
"Pescador. Cauca, Colombia",2.766666667,-76.55,1570,Cauca,Colombia,High altitude tropics,pesc
"Cajibio. Cauca, Colombia",2.666666667,-76.66666667,1562,Cauca,Colombia,High altitude tropics,caji
"Popayan. Cauca, Colombia",2.5,-76.56666667,1797,Cauca,Colombia,High altitude tropics,popa
"Quilcace. Cauca, Colombia",2.316666667,-76.81666667,900,Cauca,Colombia,Mid-altitude torpics,cace
"Patia. Cauca, Colombia",2.166666667,-77.06666667,869,Cauca,Colombia,Subhumid lowland tropics,pati
"Florencia. Caqueta, Colombia",1.75,-75.56666667,614,Caqueta,Colombia,Humid lowland tropics,flor
"Doncello. Caqueta, Colombia",1.666666667,-75.26666667,304,Caqueta,Colombia,Humid lowland tropics,qcac
"Puerto Caicedo. Putumayo, Colombia",0.683333333,-76.58333333,484,Putumayo,Colombia,Humid lowland tropics,pcai
"Orito. Putumayo, Colombia",0.683333333,-76.86666667,683,Putumayo,Colombia,Humid lowland tropics,orit
"Puerto Asis. Putumayo, Colombia",0.5,-76.48333333,256,Putumayo,Colombia,Humid lowland tropics,pasi
"La Hormiga. Putumayo, Colombia",0.366666667,-76.88333333,530,Putumayo,Colombia,Humid lowland tropics,horm
"Villa Garzon. Putumayo, Colombia",0.183333333,-76.61666667,423,Putumayo,Colombia,Humid lowland tropics,garz
Ovejas,9.5,-75.16666667,195,Sucre,Colombia,Subhumid lowland tropics,ovej
